50,65,70,100,100,100,80,100,70,70,65,100,100,100,100,100,100
40,50,55,60,65,70,70,75,65,70,100,100,100,100,100,100,100
50,60,100,100,100,100,100,100,100,100,70,100,100,100,100,100,100
40,60,100,100,100,100,100,100,100,100,100,70,100,100,100,100,100
40,100,100,100,100,100,100,100,60,60,60,100,100,100,100,100,100
40,60,70,100,100,100,70,75,70,65,100,100,100,100,100,100,100
40,50,65,100,100,100,80,100,100,100,100,80,100,100,100,100,100
40,50,50,55,60,60,70,70,65,70,100,100,100,100,100,100,100
40,100,100,100,100,100,100,100,60,60,60,100,100,100,100,60,100
50,57,100,100,100,100,100,100,100,100,62,100,100,100,100,100,100
40,60,65,100,100,100,65,65,67,67,100,100,100,100,100,100,100
40,60,100,100,100,100,100,100,100,100,100,60,100,100,100,100,100
40,50,65,100,100,100,80,100,100,100,100,100,100,100,100,100,50
40,50,50,55,60,60,70,70,65,70,100,100,100,100,100,100,100
40,50,50,55,60,60,70,70,65,65,100,100,100,100,100,100,100
40,100,100,100,100,100,100,100,57,57,57,100,47,100,100,100,100
45,52,57,100,100,100,100,100,100,100,62,100,100,100,100,55,100
40,50,55,100,100,100,100,100,100,100,100,65,100,100,100,100,100
40,55,57,100,100,100,67,70,65,65,100,100,100,100,100,100,100
40,55,100,100,100,100,100,100,100,100,100,65,100,57,100,100,100
40,55,100,100,100,100,100,100,100,100,100,65,100,100,57,100,100
40,50,50,55,60,60,70,70,65,65,100,100,100,100,100,100,100
50,65,70,100,100,100,80,100,70,70,65,100,100,100,100,100,100
50,65,70,100,100,100,80,100,70,70,65,100,100,100,100,100,100
50,65,70,100,100,100,80,100,70,70,65,100,100,100,100,100,100
40,50,55,60,65,70,70,75,65,70,100,100,100,100,100,100,100
50,60,100,100,100,100,100,100,100,100,70,100,100,100,100,100,100
40,60,100,100,100,100,100,100,100,100,100,70,100,100,100,100,100
40,100,100,100,100,100,100,100,60,60,60,100,100,100,100,100,100
40,60,70,100,100,100,70,75,70,65,100,100,100,100,100,100,100
40,50,65,100,100,100,80,100,100,100,100,80,100,100,100,100,100
40,50,50,55,60,60,70,70,65,70,100,100,100,100,100,100,100
40,100,100,100,100,100,100,100,60,60,60,100,100,100,100,60,100
50,57,100,100,100,100,100,100,100,100,62,100,100,100,100,100,100
40,60,65,100,100,100,65,65,67,67,100,100,100,100,100,100,100
40,60,100,100,100,100,100,100,100,100,100,60,100,100,100,100,100
40,50,65,100,100,100,80,100,100,100,100,100,100,100,100,100,50
40,50,50,55,60,60,70,70,65,70,100,100,100,100,100,100,100
40,50,50,55,60,60,70,70,65,65,100,100,100,100,100,100,100
40,100,100,100,100,100,100,100,57,57,57,100,47,100,100,100,100
45,52,57,100,100,100,100,100,100,100,62,100,100,100,100,55,100
40,50,55,100,100,100,100,100,100,100,100,65,100,100,100,100,100
40,55,57,100,100,100,67,70,65,65,100,100,100,100,100,100,100
40,55,100,100,100,100,100,100,100,100,100,65,100,57,100,100,100
40,55,100,100,100,100,100,100,100,100,100,65,100,100,57,100,100
40,50,50,55,60,60,70,70,65,65,100,100,100,100,100,100,100
50,65,70,100,100,100,80,100,70,70,65,100,100,100,100,100,100
40,50,55,60,65,70,70,75,65,70,100,100,100,100,100,100,100
50,60,100,100,100,100,100,100,100,100,70,100,100,100,100,100,100
40,60,100,100,100,100,100,100,100,100,100,70,100,100,100,100,100
40,100,100,100,100,100,100,100,60,60,60,100,100,100,100,100,100
40,60,70,100,100,100,70,75,70,65,100,100,100,100,100,100,100
40,50,65,100,100,100,80,100,100,100,100,80,100,100,100,100,100
40,50,50,55,60,60,70,70,65,70,100,100,100,100,100,100,100
40,100,100,100,100,100,100,100,60,60,60,100,100,100,100,60,100
50,57,100,100,100,100,100,100,100,100,62,100,100,100,100,100,100
40,60,65,100,100,100,65,65,67,67,100,100,100,100,100,100,100
40,60,100,100,100,100,100,100,100,100,100,60,100,100,100,100,100
40,50,65,100,100,100,80,100,100,100,100,100,100,100,100,100,50
40,50,50,55,60,60,70,70,65,70,100,100,100,100,100,100,100
40,50,50,55,60,60,70,70,65,65,100,100,100,100,100,100,100
40,100,100,100,100,100,100,100,57,57,57,100,47,100,100,100,100
45,52,57,100,100,100,100,100,100,100,62,100,100,100,100,55,100
40,50,55,100,100,100,100,100,100,100,100,65,100,100,100,100,100
40,55,57,100,100,100,67,70,65,65,100,100,100,100,100,100,100
40,55,100,100,100,100,100,100,100,100,100,65,100,57,100,100,100
40,55,100,100,100,100,100,100,100,100,100,65,100,100,57,100,100
40,50,50,55,60,60,70,70,65,65,100,100,100,100,100,100,100
